Listing Title,Listing Email,Listing URL,Listing Address,Listing Short Description,Listing Long Description
Ema's Cafe,,,5520 Johnston St,Multi-cuisine American restaurant in a casual environment.,<p>Takes Reservations Walk-Ins Welcome Good For Groups Good For Kids Take Out Delivery Catering Waiter Service Outdoor Seating</p>
Vested Marketing,blafleur@vested.marketing,http://www.vested.marketing,600 Jefferson St. ,"Our team of marketing and engineer professionals produce quality work with effective results. We strategically promote your business through inbound marketing, SEO, and website development. Everything we do directly contributes to increasing awarenes","SEO (SEARCH ENGINE OPTIMIZATION)Promote your offerings through relevant content that targets your key customers and prospects. Our focus is on the longterm. We don’t just get you on the top of search results for a short time, we keep you there.MARKETING STRATEGIESReceive a customized marketing strategy based on your goals that leverages your website, social media, and email channels to convert prospects into buyers and adds value to your existing customers.WEB DESIGNWhether you need a new website from scratch or a revamped site to set the foundation for your inbound marketing strategy, our design team can work with you to develop a website that becomes a true source of lead generation with tangible results.YOUR SUBJECT-MATTER EXPERT.As engineer and marketing professionals, we specialize in creating value-based, relevant content to increase your revenue."
Fit For Flight Tumbling,paigeloveandhappiness@yahoo.com,,116 Luke Dr.,Paige Ledoux is the experienced tumbling instructor and owner of Fit for Flight tumbling. We offer classes for children and adults of all ages and fitness levels. Classes and private lessons available. ,<p>Outrageous Tumbling is a tumbling program for kids to enjoy the benefits and fun of flipping around!</p>
Kenneth Trahan- Real Estate Broker/Agent,,https://la.exprealty.com/agents/5681/Kenneth+Trahan,"1720 Kaliste Saloom Road, Suite B2","Broker and Agent with eXp Realty - Lafayette, LA and Surrounding Areas - Licensed by Louisiana Real Estate Commission.","Lafayette's highly seasoned realtor helping you buy or sell your home with leadership, confidence, and excellence. The team is partnering with Compassion International to help give children a strong opportunity to overcome poverty by donating $100 from every closing. His family has sponsored two children for the past 5 years and have found Compassion really helps provide needed support for these children. Kenneth has served as a listing specialist for over 18 years helping over 700 banks, friends and family sell their property."
Lafayette Sports Academy,contactlsaoffice@gmail.com,https://www.lafayettesportsacademy.com/,101 Camino Real Rd. ,"Providing a place for families and individuals to experience a gymnastics based atmosphere. Experienced coaching, a brand new state of the art facility,  and many class choices. ","<p>From Warrior Ninja Classes, traditional tumbling and gymnastics classes, to competitive tumbling and trampoline, all the way to our preschool classes. Lafayette Sports Academy is one of the best. It is our goal to provide a safe and fun environment while helping facilitate the growth of happy and healthy athletes. We offer Birthday parties, Parents Night Out, Open Gym, Warrior Weekend, Summer/Holiday Camps, Cheer Tumbling, Kids Foundation Fitness, Mommy/Daddy &amp; Me, and Adult classes.</p>"
Acadiana Chiropractic Clinic,katyklumpp@gmail.com,,110 1/2 W 8th st,"Dr. Katy Klumpp Richard, DC CME Family Chiropractic CDL Driver Exams Drug Screens Sports rehab",
"Fezzos Seafood, Steakhouse, & Oyster Bar",,https://www.fezzos.com/Home,2111 N Cherokee Dr.,"Food and ambienceLocal cuisine, Steakhouse, American, Cajun & Creole, Seafood",
Soileau's Dinner Club,,http://www.soileaus.com/,1618 N Main St,"Consistency is the key to success and Soileau’s Restaurant in Opelousas, Louisiana has proven this for over 80 years.","Consistency is the key to success and Soileau’s Restaurant in Opelousas, Louisiana has proven this for over 80 years.Now through the second generation, this Cajun tradition continues with food preparation consisting only of fresh, quality ingredients. Ribeyes, hand cut daily, homemade stuffings, sauces and seasonings make Soileau’s Acadiana’s choice.Join us 7 days a week-lunch or dinner or somewhere in between and enjoy full service dining at its finest.Specializing in char-broiled Angus beef, select Gulf seafood, Cajun specialties and Signature dishes, you won’t believe.Boasting combined experience of over 230 years, Soileau’s has maintained several employees over 25 years each, making this truly a family affair."
Bounce E Bounce,,https://www.bounceebouncela.com/youngsville/,1933 Youngsville Hwy,,
Pitt Mans Air Condidtioning & Heating,pittmanac@yahoo.com,,,,
DoubleTree by Hilton Hotel Lafayette,,https://www.hilton.com/en/hotels/lftlddt-doubletree-lafayette/?SEO_id=GMB-DT-LFTLDDT,1521 W Pinhook Rd,,
Noel's Metal Works,jasonnoel82686@gmail.com,,,,
Lafayette Lanes,,http://www.lafayettelanes.com/,2825 Johnston St. ,,
10X Interactive,bryan@10xinteractive.com,http://www.10xinteractive.com,208 Centre Sarcelle Blvd,,
9Round Fitness,jacqueline.richard@9round.com,http://9round.com/youngsvillelaemiltonhwy,2761 E. Milton Avenue,,
A 5 Star Plumbing,roberth.5starplumbing@gmail.com,http://www.a5starplumber.com/,101 Twin Lakes Dr ,,
A & L Movers,office@almoversllc.com,http://www.almoversllc.com/, 110 Pine Park Dr,,
AAA Factory Direct Blinds & Shutters,mwhw404@yahoo.com,http://aaafactorydirect.com/,404 Cypress Cove,,
Acadian Pride Fragrance,trent@acadianfragrance.com,https://www.acadianfragrance.com/,,,
Acadiana Bar and Grill,acadianabarandgrill@gmail.com,https://my-site-101135-101948.square.site/,327 Iberia St,,
Acadiana Bottling Company,jima@acadianabottling.com,https://www.acadianabottling.com/,918 Young Street,,
Acadiana Brain Injury Center,audreyjosey@abicenter.com,http://www.abicenter.com/,101 Guillot Rd,,
Acadiana Karate,pmshihan@aol.com,https://www.acadianakarate.com/,814 Fortune Road,,
Acadian Oasis RV Park,acadianoasis@lusfiber.net,http://www.acadianoasisrvpark.com/,401 Detente Rd,,
Acadiana Pediatric Dentistry,acadianapd@gmail.com,http://www.acadianapediatricdentistry.com/,1516 Chemin Metairie Rd,,
Acadiana Storage Park,bknepper@cox.net,,112 Minolta Road,,
ADWORX,angie@adworx.com,https://www.adworx.com/,1200 Camellia Blvd,,
Agave Mexican Grill and Cantina,info@agavelafayette.com,http://www.agavelafayette.com/, 2810 East Milton Avenue,,
Amelie Aesthetics Studio,amelieaesthetics@gmail.com,http://www.amelieaesthetics.com,210 Prescott Blvd,,
